t,angle_deg,spine_curve_deg,model
601,12.67,11.99,motionbert
602,13.25,8.83,motionbert
605,9.60,12.31,motionbert
606,9.72,10.56,motionbert
608,10.46,9.51,motionbert
611,10.43,9.81,motionbert
614,7.84,13.75,motionbert
617,4.69,16.84,motionbert
620,3.90,21.16,motionbert
622,3.92,21.20,motionbert
623,5.26,19.50,motionbert
626,9.83,15.33,motionbert
629,13.68,11.97,motionbert
630,14.55,11.40,motionbert
632,12.46,12.34,motionbert
635,8.38,13.70,motionbert
638,9.71,11.81,motionbert
641,12.07,10.44,motionbert
644,13.51,10.44,motionbert
646,12.62,12.99,motionbert
647,10.20,16.85,motionbert
650,10.90,13.44,motionbert
651,13.96,11.14,motionbert
653,14.22,10.88,motionbert
654,11.54,14.46,motionbert
656,6.90,15.57,motionbert
659,4.33,13.98,motionbert
601,30.16,31.93,hmr2
602,30.28,31.27,hmr2
605,36.51,17.32,hmr2
606,33.12,17.91,hmr2
608,25.67,21.91,hmr2
611,25.17,22.58,hmr2
614,30.34,22.93,hmr2
617,27.56,21.59,hmr2
620,39.06,25.07,hmr2
622,38.19,23.46,hmr2
623,32.14,23.24,hmr2
626,29.01,26.43,hmr2
629,29.46,22.82,hmr2
630,29.25,22.86,hmr2
632,30.77,22.40,hmr2
635,31.71,25.08,hmr2
638,27.87,26.06,hmr2
641,30.92,26.68,hmr2
644,30.28,29.19,hmr2
646,32.09,28.09,hmr2
647,27.27,17.84,hmr2
650,31.56,28.14,hmr2
651,32.08,24.53,hmr2
653,31.29,25.50,hmr2
654,30.50,26.06,hmr2
656,30.47,26.05,hmr2
659,42.64,28.72,hmr2
