t,angle_deg,spine_curve_deg,model
601,12.67,11.99,motionbert
602,13.25,8.83,motionbert
605,9.60,12.31,motionbert
606,9.72,10.56,motionbert
608,10.46,9.51,motionbert
611,10.43,9.81,motionbert
614,7.84,13.75,motionbert
617,4.69,16.84,motionbert
620,3.90,21.16,motionbert
622,3.92,21.20,motionbert
623,5.26,19.50,motionbert
626,9.83,15.33,motionbert
629,13.68,11.97,motionbert
630,14.55,11.40,motionbert
632,12.46,12.34,motionbert
635,8.38,13.70,motionbert
638,9.71,11.81,motionbert
641,12.07,10.44,motionbert
644,13.51,10.44,motionbert
646,12.62,12.99,motionbert
647,10.20,16.85,motionbert
650,10.90,13.44,motionbert
651,13.96,11.14,motionbert
653,14.22,10.88,motionbert
654,11.54,14.46,motionbert
656,6.90,15.57,motionbert
659,4.33,13.98,motionbert
